lang,word_original,word_translation,,,,error
hn,cloud,बादल,,,,no error
hn,bag,बैग,,,,no error
hn,mouth,मुँह,,,,no error
hn,soil,मिट्टी,,,,no error
hn,mountain,पहाड़,,,,no error
hn,heart,दिल,,,,no error
hn,hand,हाथ,,,,no error
hn,day,दिन,,,,no error
hn,star,तारा,,,,no error
hn,spring,वसंत,,,,no error
hn,moon,चाँद,,,,no error
hn,wood,लकड़ी,,,,no error
hn,village,गाँव,,,,no error
hn,forest,जंगल,,,,no error
hn,fruit,फल,,,,no error
hn,grid,जाल,,,,no error
hn,song,गाना,,,,no error
hn,pond,तालाब,,,,no error
hn,sand,रेत,,,,no error
hn,law,कानून,,,,no error
hn,wave,लहर,,,,no error
hn,ocean,महासागर,,,,no error
hn,cave,गुफा,,,,no error
hn,sea,समुद्र,,,,no error
hn,lake,झील,,,,no error
hn,source,स्रोत,,,,no error
hn,point,बिंदु,,,,no error
hn,version,संस्करण,,,,no error
hn,ball,गेंद,,,,no error
hn,station,स्थानक ,,,,no error
hn,rice,चावल,,,,no error
hn,red,लाल,,,,no error
hn,line,रेखा,,,,no error
hn,net,जाल,,,,no error
hn,flower,फूल,,,,no error
hn,tea,चाय,,,,no error
hn,foot,पैर,,,,no error
hn,gold,सोना,,,,no error
hn,door,दरवाज़ा,,,,no error
hn,snow,बर्फ़,,,,no error
hn,horse,घोड़ा,,,,no error
hn,one,एक,,,,no error
hn,two,दो,,,,no error
hn,three,तीन,,,,no error
hn,four,चार,,,,no error
hn,five,पाँच,,,,no error
hn,six,छह,,,,no error
hn,seven,सात,,,,no error
hn,eight,आठ,,,,no error
hn,nine,नौ,,,,no error
hn,ten,दस,,,,no error
hn,head,सिर,,,,no error
hn,strip,पट्टी,,,,no error
hn,street,सड़क,,,,no error
hn,part,हिस्सा,,,,no error
hn,eye,आँख,,,,no error
hn,field,खेत,,,,no error
hn,site,स्थल,,,,no error
hn,dance,नृत्य,,,,no error
hn,word,शब्द,,,,no error
hn,pair,जोड़ी,,,,no error
hn,seat,सीट,,,,no error
hn,light,प्रकाश,,,,no error
hn,thousand,हज़ार,,,,no error
hn,north,उत्तर,,,,no error
hn,machine,मशीन,,,,no error
hn,time,समय,,,,no error
hn,position,स्थिति,,,,no error
hn,province,प्रांत,,,,no error
hn,exchange,विनिमय,,,,no error
hn,middle,मध्य,,,,no error
hn,color,रंग,,,,no error
hn,kind,प्रकार,,,,no error
hn,judge,न्यायाधीश,,,,no error
hn,school,विद्यालय,,,,no error
hn,structure,संरचना,,,,no error
hn,tie,बाँधना,,,,no error
hn,example,उदाहरण,,,,no error
hn,face,चेहरा,,,,no error
hn,bridge,पुल,,,,no error
hn,delete,मिटाना,,,,no error
hn,group,समूह,,,,no error
hn,talent,प्रतिभा,,,,no error
hn,beauty,सुंदरता,,,,no error
hn,platform,मंच,,,,no error
hn,house,घर,,,,no error
hn,sun,सूरज,,,,no error
hn,meeting,बैठक,,,,no error
hn,history,इतिहास,,,,no error
hn,valley,घाटी,,,,no error
hn,square,चौक,,,,no error
hn,generation,पीढ़ी,,,,no error
hn,south,दक्षिण,,,,no error
hn,virtue,गुण,,,,no error
hn,tribe,जनजाति,,,,no error
hn,city,शहर,,,,no error
hn,speed,गति,,,,no error
hn,ground,ज़मीन,,,,no error
hn,advance,अग्रिम,,,,no error
hn,attempt,प्रयास,,,,no error
hn,defeat,हार,,,,no error
hn,tail,पूंछ,,,,no error
hn,mother,माँ,,,,no error
hn,east,पूर्व,,,,no error
hn,return,वापसी,,,,no error
hn,speech,भाषण,,,,no error
hn,child,बच्चा,,,,no error
hn,tower,टॉवर,,,,no error
hn,household,परिवार,,,,no error
hn,person,व्यक्ति,,,,no error
hn,section,अनुभाग,,,,no error
hn,office,कार्यालय,,,,no error
hn,rock,चट्टान,,,,no error
hn,rise,उदय,,,,no error
hn,left,बाएँ,,,,no error
hn,sound,ध्वनि,,,,no error
hn,power,शक्ति,,,,no error
hn,summer,गर्मी,,,,no error